set,file,artifact,pred,proba,classes
benchmark,04_duplicated_cells.docx,v2-rf-primary,Average,"0.148,0.707,0.145","Weak,Average,Strong"
benchmark,04_duplicated_cells.docx,v2-xgb-merged,Weak,"0.771,0.152,0.077","Weak,Average,Strong"
benchmark,05_academic.docx,deployed-xgb,Average,"0.519,0.415,0.066","Average,Strong,Weak"
benchmark,05_academic.docx,v2-rf-primary,Average,"0.108,0.609,0.283","Weak,Average,Strong"
benchmark,05_academic.docx,v2-xgb-merged,Weak,"0.619,0.217,0.164","Weak,Average,Strong"
benchmark,06_date_first.pdf,deployed-xgb,Average,"0.708,0.282,0.010","Average,Strong,Weak"
benchmark,06_date_first.pdf,v2-rf-primary,Average,"0.135,0.634,0.230","Weak,Average,Strong"
benchmark,06_date_first.pdf,v2-xgb-merged,Average,"0.050,0.833,0.117","Weak,Average,Strong"
benchmark,07_multidegree.docx,deployed-xgb,Average,"0.614,0.347,0.039","Average,Strong,Weak"
benchmark,07_multidegree.docx,v2-rf-primary,Average,"0.114,0.721,0.165","Weak,Average,Strong"
benchmark,07_multidegree.docx,v2-xgb-merged,Average,"0.299,0.611,0.090","Weak,Average,Strong"
benchmark,08_org_false_positive.docx,deployed-xgb,Average,"0.727,0.268,0.005","Average,Strong,Weak"
benchmark,08_org_false_positive.docx,v2-rf-primary,Average,"0.104,0.839,0.057","Weak,Average,Strong"
benchmark,08_org_false_positive.docx,v2-xgb-merged,Average,"0.066,0.861,0.072","Weak,Average,Strong"
benchmark,09_sparse_entry.txt,deployed-xgb,Average,"0.981,0.018,0.001","Average,Strong,Weak"
benchmark,09_sparse_entry.txt,v2-rf-primary,Average,"0.055,0.543,0.402","Weak,Average,Strong"
benchmark,09_sparse_entry.txt,v2-xgb-merged,Average,"0.045,0.944,0.011","Weak,Average,Strong"
benchmark,10_strong_senior.txt,deployed-xgb,Average,"0.992,0.006,0.003","Average,Strong,Weak"
benchmark,10_strong_senior.txt,v2-rf-primary,Average,"0.064,0.827,0.109","Weak,Average,Strong"
benchmark,10_strong_senior.txt,v2-xgb-merged,Average,"0.248,0.748,0.004","Weak,Average,Strong"
